farm,visit,prop.roya,prop.lecanii,prop.myco,prop.snail,prop.mite
ADJU8,1,0.95,0.052631579,0.473684211,0,0.210526316
ADJU8,2,0.95,0.684210526,0.473684211,0,0.052631579
ADJU8,3,0.95,0.894736842,0.368421053,0,0
ADJU8,4,0.95,0.842105263,0.526315789,0.157894737,0.052631579
ADJU8,5,0.95,0.578947368,0.526315789,0.052631579,0.052631579
ADJU8,6,0.95,0.473684211,0.526315789,0,0
ADJU8,7,0.95,0.105263158,0,0,0
ADJU8,8,0.95,0.473684211,0.421052632,0,0.052631579
ADJU8,9,0.95,0.842105263,0.421052632,0,0
ADJU8,10,0.95,0.947368421,0.736842105,0,0
ADJU8,11,0.95,0.947368421,0.842105263,0,0.105263158
ADJU8,12,1,0.95,0.95,0,0.65
MARI8*,1,0.3,0,0.833333333,0.333333333,0.5
MARI8*,2,0.2,0,0.25,0.25,0.25
MARI8*,3,0.3,0,0.166666667,0.666666667,0
MARI8*,4,0.3,0.166666667,0,0.333333333,0
MARI8*,5,0.3,0.333333333,0.166666667,0.166666667,0
MARI8*,6,0.35,0.428571429,0.285714286,0.428571429,0
MARI8*,7,0.3,0.333333333,0.166666667,0,0
MARI8*,8,0.15,0,0,0,0
MARI8*,9,0.15,0,0,0,0
MARI8*,10,0.15,0,0,0,0
MARI8*,11,0.05,1,0,0,0
MARI8*,12,0.05,0,0,0,0
ADJU7,1,0.75,0.8,0,0,0
ADJU7,2,0.65,0.769230769,0.153846154,0,0
ADJU7,3,0.6,0.75,0,0,0
ADJU7,4,0.4,0.5,0,0,0
ADJU7,5,0.35,0.142857143,0,0,0
ADJU7,6,0.5,0.2,0,0,0
ADJU7,7,0.45,0.111111111,0,0,0
ADJU7,8,0.4,0.625,0,0,0
ADJU7,9,0.3,0.666666667,0,0,0
ADJU7,10,0.8,0.375,0,0,0.0625
ADJU7,11,0.6,0.75,0,0,0
ADJU7,12,0.8,0.9375,0,0,0
LASM1*,1,0,0,0,0,0
LASM1*,2,0,0,0,0,0
LASM1*,3,0,0,0,0,0
LASM1*,4,0,0,0,0,0
LASM1*,5,0,0,0,0,0
LASM1*,6,0,0,0,0,0
LASM1*,7,0,0,0,0,0
LASM1*,8,0,0,0,0,0
LASM1*,9,0,0,0,0,0
LASM1*,10,0,0,0,0,0
LASM1*,11,0,0,0,0,0
LASM1*,12,0,0,0,0,0
MARI2*,1,0.5,0.1,0.2,0,0.1
MARI2*,2,0.6,0.333333333,0.333333333,0.333333333,0
MARI2*,3,0.6,0.5,0.333333333,0.166666667,0
MARI2*,4,0.6,0.5,0.416666667,0.166666667,0
MARI2*,5,0.6,0.75,0.666666667,0.083333333,0
MARI2*,6,0.75,0.8,0.533333333,0.066666667,0.066666667
MARI2*,7,0.7,0.785714286,0,0,0
MARI2*,8,0.7,0.428571429,0,0,0
MARI2*,9,0.7,0.214285714,0,0,0
MARI2*,10,0.7,0.285714286,0,0,0
MARI2*,11,0.55,0.636363636,0.454545455,0.090909091,0.090909091
MARI2*,12,0.8,0.375,0.3125,0,0.1875
JAYU3,1,0.85,0,0.294117647,0,0
JAYU3,2,0.7,0.071428571,0.142857143,0,0
JAYU3,3,0.95,0.157894737,0.157894737,0,0
JAYU3,4,0.95,0.842105263,0.842105263,0.052631579,0
JAYU3,5,0.95,1,1,0.052631579,0.052631579
JAYU3,6,0.95,1,0,0,0
JAYU3,7,0.75,0.933333333,0,0,0.066666667
JAYU3,8,0.8,0.8125,0,0,0
JAYU3,9,0.9,0.611111111,0,0,0
JAYU3,10,0.85,0.411764706,0,0,0
JAYU3,11,0.6,0.75,0,0,0
JAYU3,12,0.35,0,0.142857143,0,0.142857143
JAYU2,1,1,0,0.55,0,0.25
JAYU2,2,0.95,0.105263158,0.315789474,0.052631579,0.315789474
JAYU2,3,1,0.4,0.35,0,0.25
JAYU2,4,1,0.45,0.7,0,0
JAYU2,5,1,0.95,0.85,0.05,0.05
JAYU2,6,1,0.95,0.7,0,0.1
JAYU2,7,1,0.5,0.15,0,0
JAYU2,8,1,0.75,0.05,0,0
JAYU2,9,1,0.7,0.35,0,0
JAYU2,10,1,0.55,0.2,0,0
JAYU2,11,1,0.7,0.7,0,0
JAYU2,12,1,1,1,0,0.3
OROC1,1,0,0,0,0,0
OROC1,2,0,0,0,0,0
OROC1,3,0,0,0,0,0
OROC1,4,0,0,0,0,0
OROC1,5,0.1,0.5,0,0,0
OROC1,6,0.1,0.5,0.5,0,0
OROC1,7,0.1,1,0.5,0,0
OROC1,8,0.1,0.5,0.5,0,0
OROC1,9,0.1,1,0,0,0
OROC1,10,0.1,0.5,0,0,0
OROC1,11,0.05,1,1,0,0
OROC1,12,0,0,0,0,0
MARI3*,1,0.35,0.714285714,0.285714286,0,0.285714286
MARI3*,2,0.35,0.571428571,0.571428571,0,0
MARI3*,3,0.35,0.571428571,0.428571429,0,0
MARI3*,4,0.35,0,0,0,0
MARI3*,5,0.35,0.285714286,0.142857143,0,0
MARI3*,6,0.35,0.571428571,0.285714286,0,0
MARI3*,7,0.3,0,0,0,0
MARI3*,8,0.1,0,0,0,0
MARI3*,9,0.2,0,0,0,0
MARI3*,10,0.05,0,0,0,0
MARI3*,11,0.15,0,0,0,0
MARI3*,12,0.2,0,0,0,0
LASM3,1,1,0.7,0.45,0,0.3
LASM3,2,1,0.85,0.15,0.05,0.3
LASM3,3,0.95,0.789473684,0.157894737,0.105263158,0.105263158
LASM3,4,1,0.95,0.35,0.05,0.35
LASM3,5,1,0.7,0.25,0,0.2
LASM3,6,1,0.35,0.1,0,0.1
LASM3,7,0.9,0.555555556,0.166666667,0,0.166666667
LASM3,8,0.95,0.263157895,0.052631579,0,0.157894737
LASM3,9,1,0.35,0.15,0,0.15
LASM3,10,1,0.7,0.3,0,0.1
LASM3,11,0.95,0.736842105,0.473684211,0.210526316,0.157894737
LASM3,12,0.95,0.736842105,0.157894737,0.368421053,0.105263158
PONC1*,1,0,0,0,0,0
PONC1*,2,0,0,0,0,0
PONC1*,3,0,0,0,0,0
PONC1*,4,0,0,0,0,0
PONC1*,5,0,0,0,0,0
PONC1*,6,0,0,0,0,0
PONC1*,7,0,0,0,0,0
PONC1*,8,0,0,0,0,0
PONC1*,9,0,0,0,0,0
PONC1*,10,0,0,0,0,0
PONC1*,11,0,0,0,0,0
PONC1*,12,0,0,0,0,0
UTUA16*,1,0.25,0.2,0.4,0,0
UTUA16*,2,0.4,0.625,0.25,0.125,0.125
UTUA16*,3,0.35,0.571428571,0.142857143,0,0
UTUA16*,4,0.45,0.333333333,0.111111111,0,0.222222222
UTUA16*,5,0.55,0.818181818,0.090909091,0,0
UTUA16*,6,0.45,1,0.555555556,0,0
UTUA16*,7,0.5,0.5,0,0,0.1
UTUA16*,8,0.4,0.625,0.125,0,0
UTUA16*,9,0.4,0.75,0,0,0
UTUA16*,10,0.4,1,0,0,0
UTUA16*,11,0.4,0.75,0,0,0
UTUA16*,12,0.5,0.6,0.2,0,0
UTUA2,1,0.65,0.769230769,0.230769231,0,0.230769231
UTUA2,2,0.6,0.916666667,0.416666667,0.083333333,0.5
UTUA2,3,0.65,1,0.769230769,0.230769231,0.538461538
UTUA2,4,0.65,1,0.692307692,0.153846154,0.384615385
UTUA2,5,0.65,1,0.538461538,0,0.076923077
UTUA2,6,0.65,1,0.076923077,0.076923077,0.153846154
UTUA2,7,0.65,0.461538462,0.153846154,0,0
UTUA2,8,0.65,0.769230769,0.076923077,0,0
UTUA2,9,0.65,0.923076923,0.230769231,0,0.076923077
UTUA2,10,0.65,1,0.769230769,0,0.153846154
UTUA2,11,0.65,1,0.307692308,0,0.384615385
UTUA2,12,0.65,1,0.230769231,0.076923077,0.692307692
LASM2,1,0.85,0.235294118,0.235294118,0,0.411764706
LASM2,2,0.8,0.5625,0.3125,0.0625,0.25
LASM2,3,0.8,0.875,0.6875,0,0.375
LASM2,4,0.75,0.933333333,0.6,0.133333333,0.4
LASM2,5,0.75,0.866666667,0.4,0,0.333333333
LASM2,6,0.75,0.533333333,0.2,0,0.066666667
LASM2,7,0.75,0.666666667,0.066666667,0,0
LASM2,8,0.75,0.266666667,0,0,0
LASM2,9,0.7,0.5,0.142857143,0,0
LASM2,10,0.8,0.9375,0.8125,0,0.125
LASM2,11,0.75,1,1,0,0.066666667
LASM2,12,0.75,1,0.8,0.066666667,0.6
YAUC3,1,0,0,0,0,0
YAUC3,2,0,0,0,0,0
YAUC3,3,0.05,1,0,0,0
YAUC3,4,0,0,0,0,0
YAUC3,5,0.05,1,1,0,0
YAUC3,6,0,0,0,0,0
YAUC3,7,0.1,0.5,0.5,0.5,0.5
YAUC3,8,0.05,1,0,0,0
YAUC3,9,0.1,0,0,0,0
YAUC3,10,0.1,0,0,0,0
YAUC3,11,0,0,0,0,0
YAUC3,12,0.05,0,0,0,0
YAUC5*,1,0,0,0,0,0
YAUC5*,2,0,0,0,0,0
