site,site.visits,prop.roya,prop.myco,prop.lecanii,prop.mite,prop.snail
Tumba,1,0.978021978,0.005617978,0.02247191,0,0
Tumba,2,0.978142077,0.111731844,0.17877095,0,0
Tumba,3,0.978142077,0.078212291,0.156424581,0,0
Tumba,4,0.972677596,0.129213483,0.213483146,0,0
Tumba,5,0.967213115,0.124293785,0.06779661,0,0
Tumba,6,0.967213115,0.124293785,0.073446328,0,0
Tumba,7,0.972677596,0.179775281,0.095505618,0,0
Tumba,8,0.972677596,0.101123596,0.061797753,0,0
Tumba,9,0.983606557,0.211111111,0.238888889,0,0
Tumba,10,0.983606557,0.133333333,0.111111111,0,0
Tumba,11,0.983606557,0.255555556,0.205555556,0,0
Tumba,12,0.989071038,0.309392265,0.226519337,0,0
Tumba,13,0.989071038,0.066298343,0.027624309,0,0
Tumba,14,0.989071038,0.055248619,0.033149171,0,0
Tumba,15,0.994535519,0.049450549,0.021978022,0,0
Tumba,16,0.994505495,0.044198895,0.016574586,0,0
Tumba,17,1,0.027472527,0,0,0
Tumba,18,0.983516484,0,0,0,0
Tumba,19,0.972527473,0.005649718,0.005649718,0,0
amapola,1,0.721590909,0.007874016,0,0,0
amapola,2,0.704545455,0.032258065,0,0,0
amapola,3,0.704545455,0.040322581,0,0,0
amapola,4,0.704545455,0.10483871,0.056451613,0,0
amapola,5,0.715909091,0.119047619,0.071428571,0,0
amapola,6,0.715909091,0.087301587,0.007936508,0,0
amapola,7,0.725714286,0.086614173,0.039370079,0,0
amapola,8,0.737142857,0.186046512,0.139534884,0,0
amapola,9,0.737142857,0.209302326,0.131782946,0,0
amapola,10,0.737142857,0.162790698,0.255813953,0,0
amapola,11,0.737142857,0.279069767,0.124031008,0,0
amapola,12,0.737142857,0.170542636,0.069767442,0,0
amapola,13,0.725714286,0.05511811,0.023622047,0,0
amapola,14,0.714285714,0.024,0,0,0
amapola,15,0.725714286,0.023622047,0,0,0
amapola,16,0.72,0.007936508,0,0,0
amapola,17,0.725714286,0,0,0,0
amapola,18,0.725714286,0,0,0,0
amapola,19,0.702857143,0,0,0,0
primavera,1,0.823863636,0,0,0,0
primavera,2,0.840909091,0,0,0,0
primavera,3,0.818181818,0,0,0,0
primavera,4,0.8125,0.006993007,0,0,0
primavera,5,0.857954545,0.033112583,0.033112583,0,0
primavera,6,0.852272727,0.013333333,0,0,0
primavera,7,0.869318182,0.065359477,0.019607843,0,0
primavera,8,0.914772727,0.105590062,0.130434783,0,0
primavera,9,0.920454545,0.283950617,0.098765432,0,0
primavera,10,0.920454545,0.327160494,0.228395062,0,0
primavera,11,0.920454545,0.333333333,0.098765432,0,0
primavera,12,0.909090909,0.175,0.05625,0,0
primavera,13,0.892045455,0.050955414,0.025477707,0,0
primavera,14,0.886363636,0.012820513,0.006410256,0,0
primavera,15,0.846590909,0.053691275,0.006711409,0,0
primavera,16,0.840909091,0.006756757,0,0,0
primavera,17,0.852272727,0.006666667,0,0,0
primavera,18,0.852272727,0,0,0,0
primavera,19,0.834285714,0,0,0,0
che,50,0.189655172,0,0,0,0
che,51,0.086206897,0,0,0,0
che,52,0.19047619,0,0,0,0
che,53,0.236842105,0,0,0,0
che,54,0.189189189,0,0,0,0
che,55,0.189189189,0,0,0,0
che,56,0.189189189,0,0,0,0
che,57,0.189189189,0,0,0,0
che,58,0.189189189,0,0,0,0
che,59,0.189189189,0.142857143,0,0,0
che,60,0.189189189,0.142857143,0.142857143,0,0
che,61,0.189189189,0.142857143,0.142857143,0,0
che,62,0.351351351,0.076923077,0.076923077,0,0
che,63,0.351351351,0.076923077,0.076923077,0,0
che,64,0.486486486,0.055555556,0,0,0
che,65,0.486486486,0.055555556,0,0,0
che,66,0.540540541,0,0,0,0
che,67,0.540540541,0.15,0.1,0,0
che,68,0.567567568,0.142857143,0.047619048,0,0
che,69,0.567567568,0.095238095,0.047619048,0,0
che,70,0.513513514,0,0,0,0
sandino,50,0.348484848,0,0,0,0
sandino,51,0.303030303,0.05,0.025,0,0
sandino,52,0.335877863,0.068181818,0.022727273,0,0
sandino,53,0.369230769,0.0625,0.020833333,0,0
sandino,54,0.3671875,0.063829787,0,0,0
sandino,55,0.375,0.0625,0.020833333,0,0
sandino,56,0.359375,0.086956522,0,0,0
sandino,57,0.396825397,0.12,0,0,0
sandino,58,0.392,0.326530612,0.081632653,0,0
sandino,59,0.368,0.260869565,0.130434783,0,0
sandino,60,0.362903226,0.155555556,0.111111111,0,0
